mmu-miR v.21,Normalized expression in Brain
miR-297a-5-3p,0.47
mmu-miR-297b-5p,1.84
mmu-miR-297c-5p,4.74
mmu-miR-298-5p,56.61
mmu-miR-299a-3p,205.74
mmu-miR-299a-5p,367.21
mmu-miR-29a-3p,131019.46
mmu-miR-29b-3p,76739
mmu-miR-29c-3p,14206.82
mmu-miR-300-3p,9021.3
mmu-miR-301a-3p,1719.27
mmu-miR-301b-3p,77.57
mmu-miR-302a-3p,0.41
mmu-miR-302b-3p,0.43
mmu-miR-302c-3p,0
mmu-miR-302c-5p,0
mmu-miR-302d-3p,0
mmu-miR-3057-3p,1.28
mmu-miR-3057-5p,16.23
mmu-miR-3058-5p,4.68
mmu-miR-3059-5p,156.31
mmu-miR-3060-3p,1.17
mmu-miR-3061-3p,4.49
mmu-miR-3061-5p,4.05
mmu-miR-3062-5p,2.51
mmu-miR-3063-3p,0
mmu-miR-3064-3p,0.48
mmu-miR-3064-5p,0.4
mmu-miR-3065-5p,0
mmu-miR-3066-5p,0.92
mmu-miR-3067-5p,0
mmu-miR-3068-5p,1238.87
mmu-miR-3070-3p,3.31
mmu-miR-3070-2-3p,2.18
miR-3070b-5p,3.6
mmu-miR-3071-5p,0
mmu-miR-3072-3p,70.6
mmu-miR-3073a-3p,0.72
mmu-miR-3073a-5p,0
mmu-miR-3074-1-3p,1.05
mmu-miR-3074-5p,0
mmu-miR-3075-5p,0
mmu-miR-3076-3p,3.57
mmu-miR-3076-5p,1.26
mmu-miR-3077-3p,4.75
mmu-miR-3078-5p,19.07
mmu-miR-3079-3p,0
mmu-miR-3079-5p,0.38
mmu-miR-3080-3p,0.81
mmu-miR-3080-5p,0.75
mmu-miR-3081-3p,1.98
mmu-miR-3082-3p,7.99
mmu-miR-3082-5p,0.48
mmu-miR-3083-5p,22.12
mmu-miR-3084-3p,6.24
mmu-miR-3085-3p,12.9
mmu-miR-3085-5p,17.64
mmu-miR-3086-3p,2.6
mmu-miR-3086-5p,12.67
mmu-miR-3087-3p,18.82
mmu-miR-3088-3p,0.07
mmu-miR-3089-3p,0
mmu-miR-3089-5p,0
mmu-miR-3090-3p,0.39
mmu-miR-3091-3p,0
mmu-miR-3091-5p,0
mmu-miR-3092-3p,0
mmu-miR-3093-3p,1.24
mmu-miR-3093-5p,7.7
mmu-miR-3094-5p,1.42
mmu-miR-3095-3p,1.49
mmu-miR-3095-5p,0.47
miR-3096-3p,0
miR-3096-5p,0
mmu-miR-3097-3p,4.59
mmu-miR-3097-5p,2.42
mmu-miR-3098-3p,0
mmu-miR-3098-5p,0.49
mmu-miR-3099-3p,350.5
mmu-miR-30a-5p,18868.45
mmu-miR-30b-5p,5764.91
mmu-miR-30c-5p,25144.37
mmu-miR-30d-5p,21849.26
mmu-miR-30e-5p,23418.41
mmu-miR-31-5p,237.69
mmu-miR-3100-3p,1.44
mmu-miR-3100-5p,0
mmu-miR-3101-5p,4.51
mmu-miR-3102-3p,284.64
mmu-miR-3102-3p.2-3p,18.72
mmu-miR-3102.2-5p.2-5p,8.24
mmu-miR-3103-3p,3.05
mmu-miR-3104-3p,1.5
mmu-miR-3104-5p,0.43
mmu-miR-3105-3p,1.44
mmu-miR-3105-5p,3.08
mmu-miR-3106-5p,321.33
mmu-miR-3108-5p,0.4
mmu-miR-3109-3p,1.16
mmu-miR-3110-5p,2.31
miR-3111,3.91
mmu-miR-3112-5p,0
mmu-miR-3113-5p,0.65
mmu-miR-32-5p,437.78
mmu-miR-320-3p,1763.96
mmu-miR-322-5p,888.49
mmu-miR-323-3p,444.14
mmu-miR-324-5p,1954.94
mmu-miR-325-3p,304.97
mmu-miR-326-3p,6324.39
mmu-miR-328-3p,4847.82
mmu-miR-329-3p,108.64
mmu-miR-329-5p,722
mmu-miR-33-5p,8138.25
mmu-miR-330-3p,2504.05
mmu-miR-330-5p,2719.91
mmu-miR-331-3p,1019.09
mmu-miR-335-5p,10290.17
mmu-miR-337-3p,131.74
mmu-miR-337-5p,858.22
mmu-miR-338-3p,15588.09
mmu-miR-338-5p,4240
mmu-miR-339-5p,295.31
mmu-miR-340-3p,10477.66
mmu-miR-341-3p,74.85
mmu-miR-342-3p,4488.44
mmu-miR-344-3p,7159.75
mmu-miR-344b-3p,535.33
mmu-miR-344c-3p,434.38
mmu-miR-344d-3p,339.42
mmu-miR-344d-3-5p,59.36
mmu-miR-344e-3p,5.57
mmu-miR-344f-3p,32.12
mmu-miR-344f-5p,23.75
mmu-miR-344g-3p,1.05
mmu-miR-344g-5p,31.23
mmu-miR-345-3p,29.17
mmu-miR-345-5p,710.64
